image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
001,17.577934142256325,22.228879161931,4.650945019674676,0.5714318390230095,0.7670088863444203,0.1955770473214108,0.1940273000000161
002,19.543119138577225,22.98366126499412,3.4405421264168936,0.7600134944421425,0.8677483320164092,0.10773483757426672,0.17731179999827873
003,17.88042078954905,23.9092802478665,6.028859458317452,0.4156812568891928,0.7195489294633406,0.3038676725741478,0.17677930000354536
004,25.42267015215681,28.973867885001656,3.5511977328448445,0.8208355024837161,0.9190375941619818,0.09820209167826577,0.1741487999970559
005,23.981520436476792,27.243898217634243,3.2623777811574506,0.8041645118466366,0.8993830673930674,0.09521855554643077,0.17581459999928484
006,17.789809590871258,24.065131997216362,6.275322406345104,0.3305522214094213,0.674392322430961,0.3438401010215397,0.17652110000199173
007,19.84917258148847,24.157569098704368,4.308396517215897,0.42661815287832144,0.7011191797486575,0.274501026870336,0.17718890000105603
008,20.70685953897303,32.05318369416631,11.346324155193276,0.12566028032134124,0.8423615724639039,0.7167012921425626,0.1757177000035881
009,17.97132214012815,22.98405217315185,5.012730033023697,0.3566871729229171,0.6381366220601643,0.28144944913724723,0.17782699999952456
010,18.054688904867838,22.70910818355507,4.654419278687232,0.5032217686660143,0.7229147710035893,0.21969300233757494,0.17788149999978486
011,18.991333391413818,23.475104354312002,4.483770962898184,0.48619453441064914,0.7068285603602237,0.22063402594957454,0.1790705000021262
012,21.23386542135542,25.311497918735853,4.077632497380431,0.6331501300835788,0.8178979028493121,0.1847477727657333,0.17715180000232067
013,23.52229896462103,26.17748053503115,2.6551815704101216,0.5599980143396598,0.6902243355167189,0.13022632117705912,0.17557359999773325
014,19.7374160051278,25.910740770909648,6.1733247657818495,0.3288337653799611,0.6854887061533631,0.356654940773402,0.17904799999814713
015,21.38611552985482,26.93661905262468,5.5505035227698585,0.4514585475698804,0.7424476260487468,0.2909890784788664,0.17601319999812404
016,15.581311708180184,23.097328338310025,7.51601663012984,0.23563093833755622,0.5551366640425298,0.3195057257049736,0.17471849999856204
017,20.119751402778967,22.08505820521851,1.9653068024395424,0.7669046579945528,0.8297239483889761,0.06281929039442335,0.17615919999661855
018,17.358118541516745,23.053380010054802,5.695261468538057,0.36837533254794913,0.6622487400985478,0.2938734075505987,0.17607590000261553
019,22.115949197802358,25.353312702224077,3.237363504421719,0.5357665395341781,0.7335053968252354,0.19773885729105733,0.1894873999990523
020,20.397135907028602,24.898303020589925,4.501167113561323,0.5751301437566649,0.7778322028132161,0.20270205905655114,0.17753829999855952
