image,runtime_seconds
001,0.6597834999847692
002,0.3877762000192888
004,0.3842057999863755
005,0.3881814999913331
006,0.3846995999920182
007,0.38292550001642667
008,0.3785400000051595
009,0.38203960002283566
010,0.3768205000087619
011,0.3752767000114545
012,0.3701030000229366
013,0.3742027999833226
014,0.3746448000019882
015,0.3759169999975711
016,0.37141290001454763
017,0.37243009998928756
018,0.37032950000138953
020,0.3712976999813691
021,0.36902939999708906
022,0.36812389999977313
024,0.3678879000071902
025,0.37486189999617636
026,0.37744690000545233
027,0.3798205000057351
028,0.38206890001310967
029,0.3828491999884136
030,0.37182499998016283
031,0.373312799987616
032,0.37060540000675246
033,0.3666054999921471
034,0.3666464999841992
036,0.36824380001053214
037,0.36368969999602996
038,0.3656630000041332
039,0.36115549999522045
040,0.3652118000027258
041,0.3632641999865882
042,0.36155000000144355
043,0.36509940001997165
045,0.36725340000703
047,0.365699299989501
048,0.366940700012492
049,0.3639639000175521
050,0.36712479998823255
051,0.36279990000184625
052,0.3688570999947842
053,0.373318099998869
054,0.37818080000579357
055,0.37378600001102313
057,0.37114559998735785
058,0.3684456000046339
059,0.37502170001971535
060,0.3680846999923233
062,0.3762122999760322
063,0.37357470000279136
064,0.3747838999843225
065,0.37679900001967326
066,0.3805665000109002
067,0.375931100017624
068,0.3782479999936186
069,0.37357220001285896
070,0.37211219998425804
071,0.370144699991215
072,0.37274469999829307
073,0.3799421000003349
074,0.3737610000243876
075,0.37426690000575036
076,0.37515109998639673
078,0.37090200002421625
080,0.37063200000557117
081,0.3714689000044018
082,0.37176759997964837
083,0.37817149999318644
084,0.37797289999434724
085,0.37210410000989214
086,0.37404580001020804
087,0.3794208999897819
088,0.3814362999983132
089,0.3769646000000648
091,0.3726809000072535
092,0.3790543999930378
093,0.38232949998928234
094,0.3777943999739364
095,0.3770541000121739
096,0.37391070000012405
097,0.37009779998334125
099,0.3709011999890208
100,0.37271419999888167
105,0.3721015999908559
106,0.37445289999595843
107,0.3757803999760654
108,0.3765290000010282
109,0.37626549997366965
111,0.3740311000146903
113,0.37163609999697655
114,0.37436640000669286
115,0.3721525000000838
117,0.37460450001526624
118,0.3724797999893781
119,0.37466499998117797
120,0.37710479999077506
122,0.3785539999953471
123,0.3727742000191938
124,0.3759773000201676
125,0.37052139997831546
126,0.374164800014114
128,0.3803329000074882
129,0.3755251999828033
130,0.3727610999776516
131,0.3754711999790743
133,0.3729505999945104
134,0.37364760000491515
135,0.3778442000038922
136,0.3710676000046078
137,0.37185589998262003
138,0.3771192000131123
139,0.3746097000257578
141,0.3756264000257943
142,0.3760564000112936
143,0.3687717999855522
145,0.3750296999933198
146,0.37130070000421256
148,0.3778057000017725
149,0.38202170000295155
150,0.39039749998482876
151,0.3801265000074636
153,0.3845625999965705
154,0.3799785999872256
155,0.3818279000115581
156,0.3769341000006534
157,0.38024319999385625
158,0.37600129999918863
159,0.3790661000239197
160,0.37183099999674596
162,0.37287589997868054
163,0.3683352000080049
164,0.3743235000001732
166,0.3734175999998115
167,0.3708906000247225
168,0.37098790000891313
169,0.37427940001362003
170,0.37811569997575134
171,0.378402999980608
172,0.3780273999727797
173,0.3717225000145845
174,0.3727712999971118
175,0.37079820001963526
176,0.3721785999950953
177,0.3770665999909397
178,0.37522529999841936
179,0.37858499999856576
180,0.37453849997837096
181,0.3770628999918699
183,0.3767175000102725
185,0.3710942000034265
186,0.37187669999548234
189,0.3753246999986004
190,0.38934670001617633
191,0.3845498000155203
192,0.3769724000012502
194,0.3769873999990523
196,0.371496500010835
197,0.38035170000512153
198,0.37134749998222105
199,0.3772558000055142
200,0.37748340002144687
201,0.3798147999914363
202,0.37657180000678636
203,0.368566599994665
204,0.37261880000005476
205,0.370399700012058
206,0.37592779999249615
208,0.36851209998712875
209,0.37013300001854077
210,0.3710625999956392
211,0.37283369997749105
212,0.3710115999856498
213,0.3753240000223741
215,0.37698979998822324
216,0.3759128999954555
217,0.37410190000082366
218,0.37626650001038797
219,0.3727851000148803
221,0.3759014999959618
224,0.3738303999998607
225,0.370864900003653
226,0.367209299991373
229,0.37236000000848435
230,0.36660189999383874
231,0.3696681000001263
233,0.36775390000548214
234,0.3715993000078015
235,0.375103800004581
236,0.3734546999912709
237,0.36949680000543594
238,0.3720848999801092
239,0.36760399999911897
240,0.37195330002577975
241,0.3715364999952726
243,0.37314789998345077
244,0.3710334000061266
