image,R_z_mean,R_z_std,R_z_skew,R_z_kurtosis,G_z_mean,G_z_std,G_z_skew,G_z_kurtosis,B_z_mean,B_z_std,B_z_skew,B_z_kurtosis,severity_mean,severity_median,severity
104,0.3567563739167386,1.161049345208861,0.6233311794225884,3.3489476651518717,0.3267835139015684,1.0812073095886208,0.6738115955684869,5.019639504326007,0.350534210582769,1.166284764399264,0.7661449372754082,4.44235821789583,1.136180473065582,1.161049345208861,1.161049345208861
105,-0.080007066391298,0.8423618426493493,0.0796147279135781,0.3682496594515028,-0.1170543659888815,0.8508686567813574,0.1328670428928177,0.6302079841327703,-0.1015522654522848,0.8384010940671738,0.1830233648226424,0.8868698446576588,0.8438771978326268,0.8423618426493493,0.8423618426493493
106,-0.1742964048245171,0.4701433662840484,4.718749641938647,117.71892477546648,-0.0762746887003361,0.4768270015289073,6.245000302041648,171.58191076769626,-0.110238948551698,0.4709789209047453,5.47128949688129,141.38390287059545,0.47264976290590033,0.4709789209047453,0.4709789209047453
107,-0.18538430824107,1.2071179764943356,0.3486711935527211,0.829482564247201,0.2244884546905755,1.2274056915267566,0.2162024923021425,0.7729693256461863,0.2404131111306659,1.2305732271819585,0.3622439649019807,1.3676789706846026,1.2216989650676835,1.2274056915267566,1.2274056915267566
108,0.1042748400641052,0.870681797326158,-0.0075998549187451,1.5722620368174276,0.1270361730344355,0.8673926594129586,0.1373309454208124,3.770845091257645,0.1178320121334449,0.8691264623766993,0.3040452113538353,3.1373466620125567,0.8690669730386054,0.8691264623766993,0.8691264623766993
109,0.0964651564433713,0.8748115262822712,-0.1071222558456555,0.5881265875996582,-0.0787874858794572,0.8920903656408872,-0.069671502473639,1.0797761919950206,0.1025239518137998,0.8687825102467674,0.088274861659649,1.3249290905538,0.8785614673899752,0.8748115262822712,0.8748115262822712
110,0.315016498333152,1.2462139609983036,0.3428346307787403,0.839843012933835,-0.0890797394920318,1.2062623962893355,0.4044968655586847,1.5377595476909909,-0.0805559505192713,1.217194073290798,0.5325238611237435,2.1122528499533475,1.2232234768594792,1.217194073290798,1.217194073290798
111,-0.1699823416338707,1.2069113562292155,0.3255598242022234,0.8085565641898138,0.1661315439583132,1.2195408901349245,0.3118259567162342,1.3186108081252828,0.2189905997967584,1.2197948729699004,0.5204461336731779,2.307799823500938,1.21541570644468,1.2195408901349245,1.2195408901349245
112,0.2237028107106636,1.187176393610078,0.4204966647441786,1.6054291063209094,-0.2197766905768856,1.1408850882957018,0.5839131574502511,2.7651344976851586,-0.1089733126501084,1.0913971846088175,1.0240237952663769,6.838217831746455,1.139819555504866,1.1408850882957018,1.1408850882957018
113,-0.0447774408757198,0.567883179995694,0.7280825291470227,8.866520557626464,-0.0316046190795164,0.5886364517170632,0.3243862457270617,3.612101857146601,-0.0943215521086012,0.5879714616850055,1.95279726164754,34.74525297205737,0.5814970311325877,0.5879714616850055,0.5879714616850055
114,0.0664183250386832,0.4479605867645615,0.7232293928501003,12.01118515375445,-0.0008789827659025,0.453572878857604,1.062707404469413,21.60794710734399,-0.0408678890392209,0.4480927823173178,1.3033751249856582,26.14634241107374,0.4498754159798278,0.4480927823173178,0.4480927823173178
115,-0.2140304232381292,0.8397226390195973,1.434044327674816,14.43239424015269,-0.2071887219593972,0.8739665868570535,1.536355989228241,16.619477479197837,-0.2486108593390465,0.7825955905517993,2.4815377792148205,33.80661634138525,0.8320949388094833,0.8397226390195973,0.8397226390195973
116,0.0613390647821668,0.9589157483049264,0.0462124440915064,0.5518503405029507,-0.1113681188878161,0.9811326369095262,-0.3987540445058591,1.00002246113789,0.0976125305711762,0.9460800144424362,0.0813805257173464,1.370943370578968,0.9620427998856297,0.9589157483049264,0.9589157483049264
117,0.2363793954401124,1.1168087654388277,0.5028297829078652,3.1738050636310517,0.3057069901669224,1.072874051175885,0.5878786884478059,4.988009015055146,0.3422465376407743,1.1042246393635586,0.9616650237816564,7.984806248383453,1.097969151992757,1.1042246393635586,1.1042246393635586
118,0.096645349268416,0.9073223691832908,0.1712937051176712,1.7839912820196595,-0.1019642099899556,0.9117208070131336,0.3845774170460079,4.386893728484381,0.0914037429192364,0.8962989622511522,0.5637195090761498,6.057561027984958,0.9051140461491922,0.9073223691832908,0.9073223691832908
119,-0.137864219469664,0.8422912535189447,0.99442020850595,10.922370288998176,-0.1621538736015564,0.8443678374798018,1.1078452343689515,13.238465331863916,-0.1735368336467332,0.8158326843115868,1.699731005060272,22.597689321836167,0.8341639251034444,0.8422912535189447,0.8422912535189447
120,-0.2185032713260375,1.1992172992664547,0.2286017309180477,0.7555424244523659,-0.1468076095471263,1.2011294021736103,0.2359048474789245,1.1852532229264563,0.189911492570361,1.2059983558564238,0.3409271001156915,1.3453464185481767,1.2021150190988295,1.2011294021736103,1.2011294021736103
121,0.2450922479805221,1.148986306045256,0.4018207041520283,2.288944188016565,-0.1799813744330594,1.1315356591123398,0.4939788120567649,3.070585657564496,-0.1374826177503694,1.131383585109513,0.4223114919971452,2.389528856597029,1.1373018500890364,1.1315356591123398,1.1315356591123398
122,0.0482649864265135,0.8313950688119487,0.976919497392353,10.608424858338196,0.1221199023360439,0.8116265328240008,1.264063969571397,16.20013316213655,-0.1554588624412195,0.8079224844888211,1.515008154145986,18.96509804583912,0.8169813620415902,0.8116265328240008,0.8116265328240008
123,-0.1083124718954619,0.9044599575446208,0.1658776413831368,0.932968648647551,0.1401934130640127,0.9063955814791226,0.1297750496981014,1.2043631316718342,0.0805478974353973,0.9072577912534596,0.2516087011195734,2.465701408423537,0.9060377767590677,0.9063955814791226,0.9063955814791226
124,-0.1639021397495116,0.8921657748958733,0.3490770482436121,1.641065374576848,0.0806051943656675,0.8971942404597181,0.3280507145042703,1.7417732028398136,-0.1901812446255836,0.9002411544930778,0.6154822963612278,4.149020716671169,0.8965337232828897,0.8971942404597181,0.8971942404597181
125,-0.098291223498493,0.8370610606984351,-0.1247797072408774,1.8434157494002088,0.1589222410706861,0.8323355679134303,-0.2652388194726093,2.249798527311116,-0.0939451944102396,0.8425270022659772,-0.250771412229773,1.3052891844044296,0.8373078769592809,0.8370610606984351,0.8370610606984351
