image,R_z_mean,R_z_std,R_z_skew,R_z_kurtosis,G_z_mean,G_z_std,G_z_skew,G_z_kurtosis,B_z_mean,B_z_std,B_z_skew,B_z_kurtosis
001,0.21103844341307343,1.1135137334964385,0.15069823511204208,0.7395521352886476,0.24924374546519412,1.0711340550322035,0.0626673318673965,1.4780549967002736,0.20560857243523478,1.1262071538140708,0.3222593107059078,1.755400946632153
002,0.12055676318000168,0.8724377105932243,0.08378065742554475,2.645765136963722,0.12214669957126191,0.8733420518593643,0.2864376930583203,4.716563842407209,0.1345544265984695,0.8659300945228439,0.35079213536900117,4.881276366285302
003,0.22645102331432565,1.16995467006133,0.3376825754712047,0.9094443157704704,-0.2040985594762218,1.1563830980745842,0.28714305597542594,0.8280246365850803,0.2885777687474143,1.1717310792125517,0.5493130440016637,2.683528316809226
004,-0.05555988242423985,0.471737131087787,1.2617302281919958,20.55837599032032,-0.055096392644221705,0.48057775066359365,1.970702742882209,39.46263936264268,-0.11340370258709805,0.46707548012365707,2.6763407005497104,58.63689231639067
005,0.07096663359469156,0.535408748953347,0.31455695704805586,4.390397798453554,0.011105657452044908,0.5231371923673289,1.1471408350763759,20.5435615601796,-0.11810687064535298,0.5116566390986166,1.5887480060320793,31.045260219039328
006,0.2762182715653561,1.219643037917811,0.2626899872628022,0.7721181730356479,0.2515563097212558,1.1946597749861965,0.28155250621402134,0.9897051495677922,-0.22051271514780632,1.1744036297370517,0.6035507931247651,2.4294064794941566
007,0.108686991288599,0.9655558135367006,0.03366305489313797,3.1757139388365774,0.10953477537139396,0.9768797098003259,0.1671832438651944,4.94108448292933,0.0981892001167187,0.969696145888771,0.22941907331592695,5.806427670454818
008,0.09476505233550661,0.8574909678694085,0.3011083822122615,1.222264676390127,0.09779353164650145,0.8793171077611397,0.3672401893378661,1.7759001203780178,0.15243185980851087,0.8846750213650435,0.4040706015837421,2.2417852460786545
009,0.24313058690656386,1.0841185174832664,0.06270492462629237,1.3802980634286843,-0.22313412057970267,1.0818569111408203,-0.1549502776147852,1.4530436358135121,0.14722643408006375,1.100520682944591,-0.3973070997954877,2.4761479244985187
010,0.22274670725611317,1.2255835344965265,0.42358711197700877,1.441599212004105,-0.24130806857869372,1.1738716879172628,0.4687870531003763,1.9047246127178497,-0.17287282956080413,1.159006578256553,0.7335838268718812,3.3631259447229755
011,-0.23646819426534224,1.061975610094688,0.5527006235450109,2.75212034553131,-0.1760569008202129,1.0838445084069832,0.5210843272859516,2.8240532337684776,-0.12992796696562636,1.04943919915011,0.7900503830720077,5.619159596189181
012,0.09206752845952015,0.8166818912627493,0.4890809142298678,5.628512786968104,-0.10258012829789313,0.8330142940783323,0.7574816237105044,9.043820149285754,0.05996138946245245,0.8026545594202869,1.0731820608614957,14.766382989227811
013,-0.01816764064242142,0.7473949323667922,2.4680503369565416,41.22908168228236,-0.22139983065257587,0.7432234920953111,2.9193221386942727,51.969844266728444,-0.008518391908754589,0.7354836132530425,3.0599622199896355,55.460029944077526
014,-0.19596134725766273,1.1415513659694982,0.7155853584476723,2.397874034275011,0.3770967136889032,1.167439916272368,0.8229437427950946,4.506838187897825,-0.11380092877704684,1.085815416667603,1.2187057788703028,7.604505455585711
015,-0.11385939132536813,0.8541837309472117,1.1558435117266423,12.654556297146456,0.15148616811971963,0.8903926663642866,0.9994815105753804,11.344955741861773,-0.13571558887903237,0.8649571204052556,1.2665563943749978,13.290166785489994
016,-0.17901512423500712,1.2406335602717493,-0.12241376735499827,-0.02298368339356527,-0.14520425359375713,1.2490527927121844,-0.047782484288476486,-0.024905659823213355,-0.2040830162072093,1.235008591470041,0.05367857368486294,-0.0724788080999903
017,-0.11325003130883672,0.8368970857771794,0.11681398047803368,2.1132156912910176,-0.08629173600405328,0.8390743571501175,0.11563086477601535,2.7949144349892574,-0.08319772487956945,0.8430095951987129,0.283856438628336,4.480372395615852
018,-0.1342410391999959,1.213337794055492,0.2677956993073581,0.6409066671258397,0.3173221012861689,1.1922010992267698,0.3279591000557211,1.4190344007158417,0.3386498124465612,1.214148883411866,0.42100500828654625,1.4444756015050517
019,-0.18933299980554988,0.8453061531634464,1.046936649829676,10.236840094613699,0.1544787740848038,0.8609493461814647,0.9551953802671702,10.678929066166807,0.07987089914198207,0.8260956636533594,1.9677349195565728,27.283516996743053
020,0.14354817662531183,0.7681281221950583,0.3751868138380692,5.834828708340311,0.11982608380597422,0.7776645287349571,0.43231427393797167,6.785179924825714,0.10253459450730881,0.7657688792076879,0.5634764447297208,9.302462012003984
021,-0.1572648103801204,1.043959870845047,0.8741685063440132,6.447088083736714,0.32279070724704506,1.106304356876785,0.5838328390393601,4.4176888680866515,-0.22573671346312066,1.019678869335029,1.0255456393973774,9.430042515038897
022,-0.14255823503524911,0.7632083179328683,1.0806354470300634,13.646217301770275,-0.13795114964230443,0.7555914868778114,1.360810873765638,19.76231096619543,-0.12658273964288194,0.7776844565456991,1.2672844517823585,16.36560168324692
023,-0.06182714506939974,0.515088878333452,3.253016212754732,67.96108261528427,-0.09043339532830674,0.5237633020412751,3.39400201408914,73.89620337453057,-0.07002361901556557,0.5356438044119926,3.6351356491746087,78.51720351327691
024,0.1967742455429131,1.2171950449988873,0.04426378928897788,0.7731748765629756,-0.19372357904383192,1.2146934398443432,0.0695211338541305,1.368265073241135,0.29272624076425036,1.2186152878869927,0.29049525528285963,1.467622930462067
025,0.0805902687970033,0.9375029722472852,0.004585316769148244,2.1796618391508717,0.12014342605654295,0.9421873088730311,0.09767967756554827,2.907780421005831,-0.09750448764059244,0.9397146638406906,0.19605842858154793,2.756563825313557
026,0.11296590075639203,0.8499251462429648,-0.06305868605072035,0.21037340215631373,-0.10667728036829599,0.8547462103069285,-0.020923667632617517,0.39187000425828966,0.09510386891891186,0.8361371198777363,0.23467870493644696,1.5500172580993619
027,-0.1853432163075897,0.9078644367263634,0.6561299623449901,4.987038998031112,0.08855722418297966,0.9120276350286681,0.9079371249636972,9.557038158552647,-0.17508646036272502,0.8890916763560447,1.2575444646295229,12.540233049782113
028,-0.0571685797823132,0.4742839165599703,3.838002658609466,88.78253375091718,-0.07704103400498531,0.47424708207735927,4.562629273009621,113.41872240868302,0.018109404588200265,0.497582858949173,4.901071521101651,123.42392431774402
029,0.3206727160551882,1.1638577870971563,0.8591284752298315,4.785523352925279,0.2670836673634961,1.1040429170560146,1.0920490941743588,8.334179635745757,0.3396504726419994,1.1355838582700901,1.1174701424577298,7.614507952158721
030,0.09551631514060265,0.7908523023126072,-0.7970768215747991,0.051842736235745424,0.06162854816929957,0.8003541425691472,-0.719040560467581,-0.12712079430544154,0.2201424362076942,0.7921288291691372,-0.5671105448263618,-0.333224177617208
