sigma_8bit,sigma_normalized,image,severity,severity_group,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
15,0.058823529411764705,013,0.7432234920953111,Medium,23.52229896462103,28.541385874210818,5.019086909589788,0.5599980143396598,0.7890637965110261,0.2290657821713663,38.47994019999169
15,0.058823529411764705,044,1.1388862090534946,High,19.446055362204063,23.62013689788219,4.174081535678127,0.4062071804600615,0.6657585286763934,0.2595513482163319,43.64362610000535
15,0.058823529411764705,078,0.5609834539588535,Low,24.036638205187852,32.497280038094125,8.460641832906273,0.5671905245739634,0.9181002237716974,0.35090969919773407,42.514812200010056
15,0.058823529411764705,101,0.4693474897097721,Low,25.964142206202176,33.82526451706118,7.8611223108590025,0.6709404638669191,0.9422837708480518,0.27134330698113274,42.607242099998984
15,0.058823529411764705,123,0.9063955814791226,Medium,19.444966411954177,23.564311053583253,4.119344641629077,0.456947589020654,0.687363769165608,0.23041618014495402,38.678237499989336
15,0.058823529411764705,152,1.2364336982652373,High,16.66941554410935,20.299870125665095,3.630454581555746,0.21099488439364247,0.33350897919514016,0.12251409480149769,37.117561499995645
15,0.058823529411764705,168,1.1009979581608342,High,16.364426319020005,19.28153236830593,2.9171060492859233,0.42857249583760154,0.5662439328067888,0.1376714369691872,39.48786269998527
15,0.058823529411764705,174,0.557401101866843,Low,23.34330612771964,28.527155673864435,5.1838495461447955,0.8525918735262636,0.9507333388672969,0.0981414653410333,38.6663811999897
15,0.058823529411764705,268,0.9712131760210724,Medium,18.28616390334584,21.884980606660108,3.5988167033142666,0.24344441527153515,0.4127039117007045,0.16925949642916932,40.14254949998576
15,0.058823529411764705,293,0.5257844078916248,Low,27.489703226967947,35.464073165438215,7.974369938470268,0.6939992438516892,0.9352516835665238,0.24125243971483457,50.85372169999755
15,0.058823529411764705,394,1.190383110893272,High,16.476372243686022,19.916659997950216,3.440287754264194,0.297510827708769,0.43832602852793606,0.14081520081916704,47.3037817000004
15,0.058823529411764705,403,0.5895020349679032,Low,23.115113862053306,31.128778905479596,8.01366504342629,0.6082434475612476,0.9114912829942595,0.3032478354330119,41.66561689999071
15,0.058823529411764705,424,0.8190708964588914,Medium,18.814666342899265,22.826889674998622,4.0122233320993566,0.09437665599169726,0.21226033388678608,0.11788367789508883,47.533541400014656
15,0.058823529411764705,434,0.9517285360109896,Medium,18.91301151505641,22.684205038522546,3.7711935234661347,0.4212950192068036,0.6190631193407967,0.1977681001339931,41.500601799984
15,0.058823529411764705,446,1.2584076283404908,High,15.990460381812206,19.378676116650333,3.388215734838127,0.2428684737069562,0.33674217866363687,0.09387370495668068,38.56266319999122
20,0.0784313725490196,013,0.7432234920953111,Medium,23.52229896462103,29.157551586761596,5.635252622140566,0.5599980143396598,0.7885970097448133,0.2285989954051535,42.42236110000522
20,0.0784313725490196,044,1.1388862090534946,High,19.446055362204063,25.672802992564286,6.226747630360222,0.4062071804600615,0.7841446106919993,0.37793743023193777,42.43948770000134
20,0.0784313725490196,078,0.5609834539588535,Low,24.036638205187852,33.860838795841694,9.824200590653842,0.5671905245739634,0.9423645573279665,0.3751740327540032,41.89171859997441
20,0.0784313725490196,101,0.4693474897097721,Low,25.964142206202176,33.49485090393744,7.530708697735264,0.6709404638669191,0.9359477280063548,0.26500726413943576,41.02802699999302
20,0.0784313725490196,123,0.9063955814791226,Medium,19.444966411954177,27.32845261402303,7.883486202068852,0.456947589020654,0.856773877104458,0.39982628808380394,45.015702599979704
20,0.0784313725490196,152,1.2364336982652373,High,16.66941554410935,22.688165184411734,6.018749640302385,0.21099488439364247,0.4806651261822756,0.2696702417886331,43.06295350001892
20,0.0784313725490196,168,1.1009979581608342,High,16.364426319020005,21.411425796828194,5.046999477808189,0.42857249583760154,0.6823577848622886,0.25378528902468706,43.886376200011
20,0.0784313725490196,174,0.557401101866843,Low,23.34330612771964,29.050272403297306,5.706966275577667,0.8525918735262636,0.9519284505810292,0.0993365770547655,39.45515840000007
20,0.0784313725490196,268,0.9712131760210724,Medium,18.28616390334584,25.805901617902414,7.519737714556573,0.24344441527153515,0.6742664123366854,0.43082199706515023,47.2743979000079
20,0.0784313725490196,293,0.5257844078916248,Low,27.489703226967947,35.21707896780613,7.727375740838184,0.6939992438516892,0.9272835288423892,0.23328428499069997,46.22943300000043
20,0.0784313725490196,394,1.190383110893272,High,16.476372243686022,22.48963959527739,6.013267351591367,0.297510827708769,0.5864536005327541,0.28894277282398506,46.619012000010116
20,0.0784313725490196,403,0.5895020349679032,Low,23.115113862053306,32.83068186173112,9.715567999677816,0.6082434475612476,0.9386119517003606,0.330368504139113,43.3496945000079
20,0.0784313725490196,424,0.8190708964588914,Medium,18.814666342899265,29.867421260535135,11.05275491763587,0.09437665599169726,0.5956034759047997,0.5012268199131025,43.25575129999197
20,0.0784313725490196,434,0.9517285360109896,Medium,18.91301151505641,26.65656011894945,7.743548603893039,0.4212950192068036,0.8168489494627401,0.3955539302559365,40.8799039000005
20,0.0784313725490196,446,1.2584076283404908,High,15.990460381812206,21.75642178887592,5.765961407063713,0.2428684737069562,0.43947854110992585,0.19661006740296966,41.6330437999859
25,0.09803921568627451,013,0.7432234920953111,Medium,23.52229896462103,28.969880341068176,5.447581376447147,0.5599980143396598,0.7745539630932422,0.21455594875358242,42.83433879999211
25,0.09803921568627451,044,1.1388862090534946,High,19.446055362204063,26.18369362121865,6.737638259014588,0.4062071804600615,0.8008677588771023,0.3946605784170408,45.20181100000627
25,0.09803921568627451,078,0.5609834539588535,Low,24.036638205187852,33.64490279034628,9.608264585158427,0.5671905245739634,0.9352632866063461,0.3680727620323827,41.500616200006334
25,0.09803921568627451,101,0.4693474897097721,Low,25.964142206202176,32.744894753912554,6.780752547710378,0.6709404638669191,0.926073786677209,0.2551333228102899,42.05678329998045
25,0.09803921568627451,123,0.9063955814791226,Medium,19.444966411954177,28.870904705413718,9.425938293459541,0.456947589020654,0.8992632772088077,0.4423156881881537,38.63206899998477
25,0.09803921568627451,152,1.2364336982652373,High,16.66941554410935,24.248266246201588,7.5788507020922395,0.21099488439364247,0.5809248200456127,0.3699299356519703,41.24629449998611
25,0.09803921568627451,168,1.1009979581608342,High,16.364426319020005,23.524815040572037,7.160388721552032,0.42857249583760154,0.7822982056076663,0.35372570977006473,41.0597028999764
25,0.09803921568627451,174,0.557401101866843,Low,23.34330612771964,28.59112183852219,5.247815710802552,0.8525918735262636,0.942082235776058,0.08949036224979434,41.41426479999791
25,0.09803921568627451,268,0.9712131760210724,Medium,18.28616390334584,28.832901899760905,10.546737996415064,0.24344441527153515,0.7964102017922748,0.5529657865207397,40.491431100002956
25,0.09803921568627451,293,0.5257844078916248,Low,27.489703226967947,34.66076891938569,7.171065692417741,0.6939992438516892,0.9168472356885523,0.2228479918368631,35.57372079999186
25,0.09803921568627451,394,1.190383110893272,High,16.476372243686022,25.008908841503533,8.532536597817511,0.297510827708769,0.7262973834301092,0.42878655572134017,35.365764799993485
25,0.09803921568627451,403,0.5895020349679032,Low,23.115113862053306,32.78120966349325,9.666095801439944,0.6082434475612476,0.9329319320572299,0.3246884844959823,34.97346060001291
25,0.09803921568627451,424,0.8190708964588914,Medium,18.814666342899265,34.561615003193936,15.74694866029467,0.09437665599169726,0.8825996390022409,0.7882229830105436,36.781202999991365
25,0.09803921568627451,434,0.9517285360109896,Medium,18.91301151505641,28.410228015532493,9.497216500476082,0.4212950192068036,0.8642165367416474,0.4429215175348438,35.619891700014705
25,0.09803921568627451,446,1.2584076283404908,High,15.990460381812206,24.320220612766082,8.329760230953877,0.2428684737069562,0.5767108392996333,0.3338423655926771,35.01748359997873
30,0.11764705882352941,013,0.7432234920953111,Medium,23.52229896462103,28.6348982462604,5.112599281639369,0.5599980143396598,0.7583616122266047,0.1983635978869449,33.64148170000408
30,0.11764705882352941,044,1.1388862090534946,High,19.446055362204063,26.14949025899211,6.703434896788046,0.4062071804600615,0.7927729657344401,0.3865657852743786,34.605006899975706
30,0.11764705882352941,078,0.5609834539588535,Low,24.036638205187852,33.150762758468346,9.114124553280494,0.5671905245739634,0.9251757582694214,0.3579852336954581,31.371373600006336
30,0.11764705882352941,101,0.4693474897097721,Low,25.964142206202176,32.01486944852503,6.050727242322857,0.6709404638669191,0.9153140508660561,0.24437358699913703,31.31550729999435
30,0.11764705882352941,123,0.9063955814791226,Medium,19.444966411954177,29.14001533949612,9.695048927541944,0.456947589020654,0.9034071758730038,0.44645958685234977,31.675147200003266
30,0.11764705882352941,152,1.2364336982652373,High,16.66941554410935,24.8091157553808,8.139700211271453,0.21099488439364247,0.6209144447230206,0.40991956032937815,31.776502699998673
30,0.11764705882352941,168,1.1009979581608342,High,16.364426319020005,24.435799367133512,8.071373048113507,0.42857249583760154,0.8112688308502651,0.3826963350126636,31.798261599993566
30,0.11764705882352941,174,0.557401101866843,Low,23.34330612771964,27.868526838187965,4.525220710468325,0.8525918735262636,0.9284701243054787,0.07587825077921506,30.178715400019428
30,0.11764705882352941,268,0.9712131760210724,Medium,18.28616390334584,29.63217747168994,11.346013568344098,0.24344441527153515,0.8117464701947886,0.5683020549232535,32.18350559999817
30,0.11764705882352941,293,0.5257844078916248,Low,27.489703226967947,34.033392568600505,6.543689341632557,0.6939992438516892,0.9056090652963356,0.21160982144464635,32.06728479999583
30,0.11764705882352941,394,1.190383110893272,High,16.476372243686022,26.3311532775443,9.854781033858277,0.297510827708769,0.7970621184083068,0.49955129069953774,32.15267340000719
30,0.11764705882352941,403,0.5895020349679032,Low,23.115113862053306,32.45560935965033,9.340495497597026,0.6082434475612476,0.9238154011764582,0.3155719536152106,31.205053000012413
30,0.11764705882352941,424,0.8190708964588914,Medium,18.814666342899265,35.32271290560713,16.508046562707868,0.09437665599169726,0.9153490662346656,0.8209724102429683,32.51966309998534
30,0.11764705882352941,434,0.9517285360109896,Medium,18.91301151505641,28.572203324966825,9.659191809910414,0.4212950192068036,0.8576935390132254,0.4363985198064218,32.189019100012956
30,0.11764705882352941,446,1.2584076283404908,High,15.990460381812206,25.967580681236697,9.977120299424492,0.2428684737069562,0.6980591260576623,0.4551906523507061,32.09929280000506
35,0.13725490196078433,013,0.7432234920953111,Medium,23.52229896462103,28.287780273072,4.765481308450969,0.5599980143396598,0.7424776122968394,0.1824795979571796,31.778586400003405
35,0.13725490196078433,044,1.1388862090534946,High,19.446055362204063,25.96850332665963,6.522447964455566,0.4062071804600615,0.7778980501838341,0.3716908697237726,31.75565850001294
35,0.13725490196078433,078,0.5609834539588535,Low,24.036638205187852,32.578952869324645,8.542314664136793,0.5671905245739634,0.9143201027730278,0.3471295781990644,31.938331599987578
35,0.13725490196078433,101,0.4693474897097721,Low,25.964142206202176,31.35502933588355,5.390887129681374,0.6709404638669191,0.9039732684471801,0.233032804580261,32.451900299987756
35,0.13725490196078433,123,0.9063955814791226,Medium,19.444966411954177,29.071284266367815,9.626317854413639,0.456947589020654,0.8988627867475815,0.44191519772692744,31.522465100017143
35,0.13725490196078433,152,1.2364336982652373,High,16.66941554410935,24.920206947715585,8.250791403606236,0.21099488439364247,0.6307363452288711,0.4197414608352287,32.15418710000813
35,0.13725490196078433,168,1.1009979581608342,High,16.364426319020005,24.536211077008527,8.171784757988522,0.42857249583760154,0.8026275324327344,0.3740550365951329,32.28882159999921
