sigma_8bit,sigma_normalized,mean_denoised_psnr,mean_delta_psnr,mean_denoised_ssim,mean_delta_ssim,score,avg_runtime,low_delta_psnr,medium_delta_psnr,high_delta_psnr,low_delta_ssim,medium_delta_ssim,high_delta_ssim
30,0.11764705882352941,29.234553840116003,8.709437798993383,0.8376679832819821,0.3873225759941512,0.5033065423573958,32.05189921333416,7.114851469060253,10.464180030028738,8.549281897891156,0.24108376930673342,0.4940992339423877,0.42678472473333284
35,0.13725490196078433,29.075258252101694,8.550142210979073,0.8362996082323412,0.3859542009445102,0.49638736881696705,32.07055453333499,6.515902286070935,10.349806932201743,8.784717414664541,0.2291959771798433,0.48455835643599354,0.444108269217694
25,0.09803921568627451,29.023622152859403,8.498506111736786,0.8224894067935822,0.3721439995057512,0.488797844271772,39.18458907332776,7.694798867505808,10.132884565418502,7.667834902286049,0.25204658468506247,0.4881963848015727,0.3761890290306186
20,0.0784313725490196,27.81920436591619,7.294088324793568,0.7600883736260561,0.3097429663382252,0.4156607195270328,43.22953476666589,8.100963860896554,7.966956012058979,5.814345101425175,0.26063413261560353,0.3912056061446293,0.2773891602544425
15,0.058823529411764705,25.56274667029111,5.037630629168492,0.6479263252348432,0.19758091794701216,0.28053759234554454,41.91720931332869,7.498729734361325,4.104133022019725,3.5100291311244236,0.25297894933354936,0.1888786473549143,0.1508851571525729
