image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
001,17.577934142256325,22.613751208784876,5.035817066528551,0.5714318390230095,0.7833074489335924,0.21187560991058285,0.2108133000001544
002,19.543119138577225,23.532937682756774,3.989818544179549,0.7600134944421425,0.8821192273754952,0.1221057329333527,0.18717990000732243
003,17.88042078954905,24.261466169779005,6.381045380229956,0.4156812568891928,0.7357300888911054,0.3200488320019126,0.18969739999738522
004,25.42267015215681,29.846129619992553,4.423459467835741,0.8208355024837161,0.9326904406209446,0.11185493813722858,0.1873137999937171
005,23.981520436476792,27.968922416004197,3.987401979527405,0.8041645118466366,0.9121018100327808,0.10793729818614417,0.20593480000388809
006,17.789809590871258,24.306578385693165,6.516768794821907,0.3305522214094213,0.6889124445853687,0.3583602231759474,0.24073269999644253
007,19.84917258148847,24.485557074309554,4.636384492821083,0.42661815287832144,0.7180644860241131,0.29144633314579166,0.188068999996176
008,20.70685953897303,32.55666679925393,11.849807260280901,0.12566028032134124,0.864871341624605,0.7392110613032638,0.18717950000427663
009,17.97132214012815,23.265288954646593,5.293966814518441,0.3566871729229171,0.6516842404360011,0.2949970675130841,0.20730100000218954
010,18.054688904867838,23.075924576645846,5.021235671778008,0.5032217686660143,0.7404141095608705,0.2371923408948562,0.19319890000042506
011,18.991333391413818,23.798479942032642,4.807146550618825,0.48619453441064914,0.7233809684229152,0.23718643401226608,0.18940309999743477
012,21.23386542135542,25.84353883474824,4.609673413392819,0.6331501300835788,0.8362553801683315,0.20310525008475266,0.1852733999985503
013,23.52229896462103,26.349199321249092,2.8269003566280624,0.5599980143396598,0.6979391753348724,0.13794116099521259,0.18590939999558032
014,19.7374160051278,26.201164099621572,6.4637480944937735,0.3288337653799611,0.7013383100857894,0.3725045447058283,0.2089172999985749
015,21.38611552985482,27.33803429628152,5.951918766426701,0.4514585475698804,0.7582319570349462,0.30677340946506576,0.18988059999537654
016,15.581311708180184,23.246948574029588,7.665636865849404,0.23563093833755622,0.5611279732294425,0.3254970348918863,0.1845742000004975
017,20.119751402778967,22.305271955039338,2.185520552260371,0.7669046579945528,0.8370419621337092,0.07013730413915642,0.1856133000110276
018,17.358118541516745,23.32707698796809,5.968958446451346,0.36837533254794913,0.6779843053827982,0.30960897283484906,0.18557899999723304
019,22.115949197802358,25.64760234134446,3.5316531435421012,0.5357665395341781,0.7472957573951744,0.21152921786099632,0.19021380000049248
020,20.397135907028602,25.442891356069953,5.045755449041351,0.5751301437566649,0.796570240306656,0.22144009654999108,0.19162459998915438
021,19.72066906650826,24.141913148078793,4.421244081570531,0.49037860142397943,0.7365634682427906,0.2461848668188112,0.19211829999403562
022,22.59874298241455,26.938224429191685,4.339481446777135,0.5738650919832188,0.795005746846614,0.22114065486339518,0.18660870000894647
023,26.983598815685795,29.205824232178877,2.2222254164930817,0.7653056622114,0.8667872226203276,0.10148156040892764,0.18859320000046864
024,16.768288849213498,21.483513439413365,4.715224590199867,0.617417307489985,0.8034642739472176,0.18604696645723262,0.19430040000588633
025,19.192194022027785,22.643662250806038,3.4514682287782534,0.5974570822328802,0.7436890349829787,0.14623195275009848,0.1999163000000408
026,19.21467652899465,23.33162798357236,4.116951454577709,0.7803398234143298,0.8916490564449563,0.11130923303062645,0.18432250000478234
027,21.103138905128777,26.971411085846533,5.8682721807177565,0.42639275304547514,0.7666929771273162,0.3403002240818411,0.187812500007567
028,28.164959060314885,30.315679131291606,2.150720070976721,0.8202342308581957,0.9036166460672588,0.08338241520906309,0.18807969999033958
029,19.586958484610506,23.704764265881163,4.117805781270658,0.3489010973842935,0.5834479070695336,0.23454680968524017,0.18409660000179429
030,20.032258134524774,31.812057125922543,11.779798991397769,0.09989556669317474,0.9072885232858141,0.8073929565926393,0.18750280000676867
031,19.13127398508054,24.707241804826516,5.575967819745976,0.5689317999094503,0.8115270939102345,0.24259529400078417,0.18809399999736343
032,20.19941464237324,25.53556547035238,5.336150827979139,0.6838636165786404,0.8761448226141813,0.19228120603554089,0.18803040000784677
033,18.465644217097424,22.966023145150846,4.500378928053422,0.35049078552514573,0.5964147107884877,0.245923925263342,0.19440249999752268
034,19.490536126656043,25.858990985010127,6.3684548583540845,0.25344540995858694,0.6935807275343658,0.4401353175757789,0.18914699999731965
035,18.414076272112087,22.294181254709272,3.880104982597185,0.5059368530848795,0.7104730171389774,0.2045361640540979,0.1866885000054026
036,16.05025988581926,23.228074996819984,7.177815111000726,0.22021349952758093,0.540521142895262,0.320307643367681,0.1901415000029374
037,19.382120400575083,29.47144815161805,10.089327751042966,0.24006675368306044,0.7704968117202773,0.5304300580372169,0.19188549999671523
038,26.425640363957285,30.209867574823697,3.784227210866412,0.7554125106383734,0.8986999538396651,0.1432874432012916,0.19567230000393465
039,17.47563994091067,23.79113311079486,6.3154931698841885,0.4438505792926926,0.7434327792554037,0.2995821999627111,0.19074360000377055
040,18.236726941308397,23.096504978106044,4.859778036797646,0.48057499874538845,0.7091157216157903,0.22854072287040184,0.21779359999345616
041,19.924826733007887,24.47044601726634,4.5456192842584535,0.5337743782362496,0.7495514889500314,0.2157771107137818,0.2046466000028886
042,17.72874310063402,24.426199469387804,6.697456368753784,0.3814195766152168,0.7265359026413343,0.34511632602611747,0.19140619999961928
043,16.133198002327113,21.527084160179566,5.393886157852453,0.5375335920897378,0.76559347840939,0.22805988631965213,0.1898770000116201
044,19.446055362204063,24.207180466471417,4.761125104267354,0.4062071804600615,0.6789887399448838,0.27278155948482236,0.19830350000120234
045,20.64792518896612,23.16700314004801,2.51907795108189,0.8028112837145848,0.8675017771668542,0.0646904934522694,0.19059570001263637
046,18.170655644255465,22.90973649142994,4.739080847174474,0.4928014252059633,0.6882726434494955,0.19547121824353214,0.193773399994825
047,24.830451736080896,30.025542252782923,5.195090516702027,0.8279599121258728,0.9415675663231924,0.11360765419731955,0.18958419999398757
048,18.40240839569249,26.462626689565422,8.060218293872932,0.24177405549413242,0.7151218382484655,0.4733477827543331,0.18680170000880025
049,17.01163311200222,24.81472150910198,7.80308839709976,0.12794870931229188,0.5569393879154058,0.4289906786031139,0.1858941000100458
050,20.522352674014428,26.098872689020077,5.576520015005649,0.5608599779350105,0.818800359765199,0.2579403818301885,0.1887606000091182
051,24.74801870054165,30.12614507811319,5.37812637757154,0.6623315898041802,0.8729363626568017,0.21060477285262158,0.18562350000138395
052,16.994015885767656,22.76794004923658,5.773924163468923,0.4294824330140418,0.7008250797978653,0.2713426467838235,0.1847049999923911
053,17.07547945184705,21.151157202640462,4.075677750793414,0.6075061715795836,0.7493405077894666,0.14183433620988295,0.18468240000947844
054,22.9623898370536,28.700241172287843,5.737851335234243,0.5356786856449359,0.7783331978739914,0.24265451222905543,0.19178999999712687
055,19.13983763255576,22.78558152397857,3.6457438914228106,0.5739714251676262,0.7326300204529866,0.15865859528536042,0.18619500000204425
056,19.002165090233675,23.814405507591275,4.8122404173576,0.6507278233133209,0.8283405851735521,0.17761276186023123,0.18866610000259243
057,18.528555574570515,24.00876215865937,5.4802065840888545,0.3754675372245906,0.6484327293650316,0.272965192140441,0.18860000000859145
058,17.088604039912703,21.450009336408996,4.361405296496294,0.5652102616029663,0.7370646432658986,0.17185438166293232,0.18480380000255536
059,25.008895378401093,30.688384077416593,5.679488699015501,0.6034593900709143,0.8601158099578062,0.2566564198868919,0.18628609999723267
060,23.42360786630763,29.080136005146223,5.656528138838592,0.7571857949655479,0.9153926315166226,0.1582068365510747,0.18956830000388436
061,18.30004279954806,21.499876153287943,3.1998333537398835,0.6998395561462137,0.7880047366642889,0.0881651805180752,0.18632999999681488
062,16.35953428880488,19.832019385173556,3.4724850963686755,0.6712726981281096,0.7811122871022135,0.10983958897410384,0.19070700000156648
063,17.750737029378072,21.70240915370639,3.9516721243283186,0.4733385466340747,0.7063963441237942,0.23305779748971944,0.18631859999732114
064,19.152362564214034,25.223671426071675,6.071308861857641,0.563499713984386,0.8190371628154841,0.2555374488310981,0.18626859999494627
065,18.14604907144356,22.895352371425464,4.749303299981904,0.41293699700781006,0.6158243945790803,0.20288739757127028,0.1901854000025196
066,20.26123336966213,25.772308617192014,5.5110752475298845,0.4683874398384971,0.7412100583472242,0.2728226185087271,0.1911402999976417
067,25.975027891633957,29.59742990009611,3.622402008462153,0.7067137899600469,0.8615844321992228,0.1548706422391759,0.1945209999976214
068,21.507092306121216,27.04608119534511,5.538988889223894,0.3601656193597093,0.6946856314840066,0.33452001212429733,0.19629059999715537
069,17.135443853642023,22.00034066446166,4.864896810819637,0.45177353705638595,0.6987652817992235,0.24699174474283753,0.18467020000389311
070,18.80082128401203,26.917618845698396,8.116797561686365,0.2896711734727509,0.6900290771495512,0.4003579036768003,0.18561570000019856
071,21.739921018160228,25.61803901019517,3.878117992034941,0.594383494830955,0.7975233492301145,0.2031398543991595,0.18925900000613183
072,18.736805511006988,22.25673970307082,3.5199341920638325,0.5882867323111051,0.7367744858518216,0.14848775354071653,0.1865335999900708
073,23.057136946798813,25.975292580532393,2.91815563373358,0.7654953448804669,0.8494412290356169,0.08394588415515003,0.18699819999164902
074,15.445788537198942,23.50599010295216,8.06020156575322,0.12221930635834351,0.4246844425706229,0.3024651362122794,0.1882198000093922
075,17.681679147891,25.37750524814307,7.69582610025207,0.2831597133291454,0.6783244538048466,0.3951647404757012,0.1883998999983305
076,25.26008036300173,28.081964027468015,2.8218836644662844,0.7993278190760557,0.8952678009935019,0.09593998191744624,0.18838219999452122
077,16.714998584365947,25.594633616969155,8.879635032603208,0.16702963607412782,0.5824540302292932,0.4154243941551654,0.18975459999637678
078,24.036638205187852,29.036898653215275,5.000260448027422,0.5671905245739634,0.8110555525363082,0.24386502796234488,0.18937959999311715
079,20.294278545610883,24.42655246943458,4.132273923823696,0.5528751990372386,0.762831350624278,0.2099561515870394,0.18611070000042673
080,19.944192619497876,24.11154048100888,4.167347861511004,0.5218578364387186,0.7058892382995247,0.18403140186080602,0.1859753000026103
081,16.691973549887578,22.157209208611555,5.4652356587239765,0.4223193457003378,0.6928071052767625,0.2704877595764247,0.18766100000357255
082,17.01046393143564,24.809372343761858,7.798908412326217,0.20543598533687932,0.5636899902340405,0.3582540048971612,0.18745780001336243
083,25.416445403180703,29.010426807870104,3.5939814046894014,0.7934296806062223,0.9083667340879412,0.1149370534817189,0.18912809999892488
