image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
118,19.536843653243952,25.660407503354957,6.123563850111005,0.455246759466444,0.7729905350973362,0.3177437756308922,0.17367300001205876
119,21.956013509330408,25.480141031838453,3.5241275225080457,0.6082691587271606,0.7644742573468642,0.15620509861970366,0.16921649999858346
120,16.878014312716857,20.99158895093838,4.113574638221522,0.5834157886766628,0.7297591184721112,0.1463433297954484,0.17090520000783727
121,18.020104697232973,24.717121255856394,6.697016558623421,0.2894650728876386,0.5713752943387299,0.2819102214510913,0.17254500000854023
122,22.241257797274237,25.72935922395217,3.4881014266779324,0.6791506176598879,0.8271667468218098,0.14801612916192186,0.17366600000241306
123,19.444966411954177,25.92327824659293,6.4783118346387525,0.456947589020654,0.7935194346931075,0.33657184567245346,0.168640999996569
124,20.181261743510333,28.61229076581221,8.431029022301878,0.28569940387436127,0.7371750977317246,0.45147569385736336,0.17284179999842308
125,19.822495630403097,23.49294089685789,3.6704452664547915,0.5696948032001753,0.7808804244745788,0.21118562127440355,0.17404410000017378
126,20.43466670687738,28.49178620414588,8.057119497268499,0.19696742725222158,0.6917090025378211,0.4947415752855995,0.17330530000617728
127,20.133479815469425,24.346349327207072,4.212869511737647,0.3789912685365358,0.6531885410953656,0.2741972725588298,0.17813780000142287
128,16.770172974315894,22.584649605723712,5.814476631407818,0.3443906164820783,0.5497030644717388,0.20531244798966047,0.1731007999915164
129,17.11344990287847,25.619141499387162,8.50569159650869,0.09055336577451371,0.49580660567786716,0.40525323990335343,0.17372549998981413
130,18.20371752129764,27.713195774044216,9.509478252746575,0.10576066419077068,0.5923675541886332,0.4866068899978625,0.1745018999936292
131,17.75379940977156,22.819590576238657,5.065791166467097,0.4185919647410005,0.6727950427786697,0.25420307803766923,0.17683900000702124
132,17.791842974179122,24.09991023301607,6.3080672588369495,0.3551447877180738,0.681262074921562,0.3261172872034882,0.18586820000200532
133,21.777941295099875,28.10669499433676,6.328753699236884,0.3046098069309164,0.690359371519763,0.3857495645888466,0.1743214000016451
134,17.10687106976317,22.750743435041013,5.6438723652778435,0.4029387762703242,0.6658190278903393,0.2628802516200151,0.17246509999677073
135,16.783250326800612,22.63666302196958,5.8534126951689665,0.5824606216067867,0.8242855211748998,0.24182489956811315,0.16965080000227317
136,20.20167075826877,24.45789765640861,4.25622689813984,0.6672039162451933,0.8436591232251018,0.17645520697990857,0.17163729999447241
137,15.677097997594224,22.80395080359368,7.126852805999455,0.286802279236682,0.6149544754752938,0.3281521962386118,0.1703084999899147
138,18.70237426246487,23.70885283429224,5.0064785718273725,0.43715538407261123,0.6899202147286357,0.2527648306560245,0.17206810000061523
139,20.44035511135541,24.518492472091392,4.078137360735983,0.3706802490439691,0.6076633984213379,0.23698314937736875,0.17017910000868142
140,19.480681842159285,24.02782498779224,4.547143145632955,0.5878644068795098,0.7892248048163096,0.20136039793679983,0.17498889999114908
141,18.24587033528105,23.12319333748213,4.877323002201081,0.5518378270839807,0.7425915855329195,0.19075375844893883,0.17247589999169577
142,16.540667883209043,20.96985192634287,4.4291840431338265,0.608621007437767,0.7846920547167532,0.17607104727898615,0.17409519999637268
143,21.235107308422755,24.256408789832907,3.021301481410152,0.702410494529432,0.802833249104245,0.10042275457481298,0.17420470000070054
144,22.003212242136225,28.034384758961124,6.031172516824899,0.4024261158098859,0.7538732532377234,0.35144713742783745,0.1923442000115756
145,21.42214358214963,24.891637011346187,3.4694934291965573,0.7548447474033008,0.8670996403738416,0.11225489297054081,0.17285780000383966
146,18.798012225140564,23.203117707011565,4.405105481871001,0.571465300349756,0.7585946338731563,0.18712933352340033,0.17464230000041425
147,19.539780661154474,26.54522457792512,7.005443916770645,0.4078920081802049,0.7435815887194316,0.3356895805392267,0.17449330000090413
148,20.71526120592857,24.60720499323406,3.8919437873054896,0.62978678977476,0.7877214000254003,0.15793461025064026,0.18106070000794716
149,26.860215321567633,31.327747979452624,4.467532657884991,0.6209081847455932,0.8232217706196375,0.20231358587404435,0.17569240000739228
150,16.32848365824945,22.934788329011788,6.606304670762338,0.3351859648974352,0.6620226045330487,0.32683663963561355,0.17572260000451934
151,28.010253940740935,30.63911022128186,2.6288562805409263,0.7865798653703041,0.8849264590881342,0.09834659371783006,0.1719440000015311
152,16.66941554410935,23.052424254383183,6.383008710273835,0.21099488439364247,0.4499161798619187,0.2389212954682762,0.19236549999914132
153,20.382153416066963,23.978482474767887,3.596329058700924,0.7341881365397619,0.8561383405704689,0.121950204030707,0.1776570000074571
154,16.104580320764036,21.75926449343704,5.654684172673004,0.3845735056083382,0.6167153713941639,0.23214186578582569,0.17922740000358317
155,20.56038305964828,24.6430394054512,4.082656345802921,0.3169144670496137,0.5237313478579587,0.20681688080834504,0.1833580999955302
