image,severity,RG_corr,RB_corr,GB_corr
001,1.1135137334964385,0.06465548045566566,0.0436837566054983,0.04901677828330206
002,0.8724377105932243,0.029936591629616698,0.024862848919168127,0.031191752108427152
003,1.16995467006133,0.06130778858088076,0.07506693948476924,0.06619820361351603
004,0.471737131087787,0.15067986961364155,0.1498747126815888,0.15841667621606131
005,0.5231371923673289,0.046472727343196185,0.05741094051540344,0.07552664215708287
006,1.1946597749861965,0.0657811731925661,0.06281016512559223,0.05896683202605333
007,0.969696145888771,0.0528280413321567,0.049924164712449294,0.05818683834671057
008,0.8793171077611397,0.046125857405856494,0.05879685619583777,0.07331122380846845
009,1.0841185174832664,0.043954012488171476,0.04754550655484166,0.034607595923709135
010,1.1738716879172628,0.06837167262732141,0.06675647300855643,0.07253768165149246
011,1.061975610094688,0.09888172551586269,0.09076259398402986,0.10516070339762887
012,0.8166818912627493,0.11457927558844681,0.11841857736257863,0.11836679122110967
013,0.7432234920953111,0.19082027747918784,0.17663052407759267,0.18978405962490583
014,1.1415513659694982,0.06843175613186073,0.0735853143878964,0.09532496039281105
015,0.8649571204052556,0.08337043897285677,0.09807923809138981,0.08364319259812546
016,1.240633560271749,0.03915439260316311,0.02779661399209542,0.025158912991382003
017,0.8390743571501175,0.060790095183239044,0.06549262275413152,0.054733695729438606
018,1.213337794055492,0.06534942325703,0.06084168261879418,0.08120811475503888
019,0.8453061531634464,0.12093554588379435,0.14382830351962947,0.14018532576334392
020,0.7681281221950583,0.10023873100755946,0.09770345166807202,0.1061299084167254
021,1.043959870845047,0.08629233024965652,0.09956853552680886,0.1025956162835011
022,0.7632083179328683,0.15522670235612332,0.1550469813689027,0.1630695468292108
023,0.5237633020412751,0.3831150365375605,0.412985777394095,0.404439968106587
024,1.2171950449988873,0.048835413070756194,0.04507457507189471,0.06029735209886376
025,0.9397146638406906,0.042973176398360034,0.04461306199361535,0.04834208117414127
026,0.8499251462429648,0.02082991389911586,0.0332970486903769,0.02611839366927317
027,0.9078644367263634,0.08512459391141111,0.06705902896437177,0.0808929671413176
028,0.4742839165599703,0.4907163660398912,0.5081750859437796,0.5175844134710117
029,1.13558385827009,0.0905642639844758,0.08566612560272055,0.09603301667788292
030,0.7921288291691372,0.03172081146378226,0.027556099773152824,0.013405326705034516
031,0.9341179382804524,0.0404015597213327,0.043816905978011585,0.035958209585507356
032,0.8599499103779575,0.05681330581569411,0.052420532584101974,0.07069700521149305
033,1.246939019979685,0.09397289308050731,0.08363209076014709,0.0821141014694026
034,1.1420454716794235,0.07761122901163552,0.08747290875554649,0.08654351620159668
035,1.1926704625009776,0.06886945387083246,0.07851345547929149,0.08608989939638802
036,1.2315807374614651,0.04334427067686608,0.030859183008300487,0.0391050998287111
037,0.8724590208763536,0.04619911902819771,0.0490416874916113,0.054109218952507095
038,0.4933853413401734,0.27548649630288596,0.2769283586055107,0.2821081861008339
039,1.0633759046513638,0.034687995416583996,0.042195616225942506,0.035683150763424785
040,1.0810990786993138,0.07893616250318632,0.08735246173326151,0.08374999642732152
041,0.9047260248152852,0.05023141403440948,0.056907379129757185,0.06142623794182008
042,1.1306222303883908,0.058666397941995754,0.04500557777350113,0.05681326585796843
043,1.229648273286486,0.05168812886645307,0.04596046443274485,0.03892431539921769
044,1.1388862090534946,0.09682912605977154,0.10468311966813261,0.11741446460199567
045,0.7666932740152291,0.07709027120622448,0.05923503036075321,0.06904738861253534
046,1.1384001264497692,0.064055637303908,0.06532565990782188,0.06911644037768976
047,0.4906632677805814,0.16399482996062603,0.17223299812894058,0.18848185704671727
048,1.2106759809004162,0.04409770534861085,0.044886016643653985,0.057253854422978104
049,1.1339737147632225,0.05029644610413821,0.03613085849191144,0.06419284233642175
050,0.9236726877851004,0.08697214568789174,0.08746234710931897,0.09057780622005918
051,0.6004837934417665,0.13949576585670345,0.17541347265443558,0.1604508060154677
052,1.2535943046751092,0.053777580819375656,0.06573391649637406,0.05770999505765553
053,1.1752780911248304,0.03558501393634004,0.02941976088739032,0.04892159201496973
054,0.5900214479139739,0.13470926597468974,0.13857853646002577,0.13294551368262322
055,1.0379588008137726,0.06385630668828127,0.07704817928332569,0.09536602977443846
056,0.898528363404182,0.04949509388347403,0.04613815114180051,0.05504239536121729
057,1.208139322615564,0.07578870829156042,0.06925341054723366,0.07428518022206068
058,1.2349097985191304,0.07595100564820002,0.07261119576237506,0.08652246360881599
059,0.5107143526397243,0.13267968389259877,0.16501308488559324,0.16338409240188928
060,0.5813411350261203,0.11082361273506593,0.13213440668190937,0.12866049160159748
061,0.9407969334714568,0.02635663742546415,0.030290343370536488,0.029279504231878053
062,1.23633994945441,0.030238508362669763,0.04435145801106738,0.04810499090172881
063,1.1737789906789533,0.07952359530362099,0.0794834755176319,0.08087506891826302
064,0.9371091287196258,0.06572929147637062,0.0799011989954005,0.07247513311434947
065,1.1445324766981575,0.10363612657815814,0.09815347175595006,0.1108714074432438
066,0.8262537628303542,0.0946890164598148,0.06963210134816378,0.08504389742504304
067,0.6107341415313532,0.22938280604846628,0.27099481171504913,0.25618444679189123
068,1.0620458130138792,0.10463144618618005,0.1158486441537237,0.12172448789128872
069,1.24108525592909,0.06312461140914785,0.059658339323616576,0.05033506731253709
070,0.9142694104475144,0.039296863694622805,0.0279798200337069,0.04052216967927082
071,0.8472290912416631,0.11200089070859369,0.11635031562547635,0.12203463318505939
072,1.1470071480249582,0.09310062718848654,0.08991289638579483,0.08672896702097588
073,0.6201027273807035,0.17241892868794753,0.17041492704167693,0.18445614790541917
074,1.190443233685803,0.027550626117637148,0.02534861216523937,0.021671503905995444
075,1.1602031487780902,0.048209366675001315,0.03805055123627574,0.05068088538906163
076,0.5929433086281547,0.2673156941108228,0.2798253086264172,0.29320478968263647
077,1.2270554482878606,0.018099380372878848,0.03670465322108076,0.030008315873406403
078,0.5609834539588535,0.15838099897033478,0.20495908516285316,0.18303988292669643
079,0.9285042538760164,0.06361948666608058,0.08024256267237004,0.08783746903203453
080,1.102031239701893,0.11600892753287646,0.11723117843597204,0.10389687053568927
081,1.224621060466384,0.06277340557545197,0.04064652854396887,0.05443609809451564
082,1.081315066866462,0.028429161109970066,0.03880469900659896,0.028171219549553005
083,0.4921358703590843,0.1781126277371636,0.20152426723240213,0.2013052862848481
084,1.1355299569821675,0.044774518301778504,0.05700497849759985,0.0502800020764501
085,1.205135049282289,0.06422164417815421,0.06366059838958177,0.06963698340533617
086,1.18635117458766,0.06350396870416804,0.09234797047187603,0.07260390937605343
087,0.9579490488383416,0.028838100282231046,0.04674818617841984,0.036096021135971504
088,1.0834695886825372,0.05001300437017043,0.04466244036953724,0.05963735313950778
089,0.8188240693504951,0.11193368848099966,0.10953846072588425,0.12742629976518502
090,0.3793252854405926,0.20609892648797906,0.16395296968135054,0.1910624803127429
091,1.187512959802359,0.03134907723584198,0.03460998846428424,0.04246669133734037
092,0.8533095673524976,0.10577840639023411,0.10312019762298208,0.11978048483796948
093,1.1951535949495589,0.024561536367487168,0.03387425448469212,0.02472843408059147
094,1.18625777311656,0.04563027845188766,0.030041517102575646,0.05759947281142049
095,0.5398800617720868,0.3052332434109898,0.3123631221849025,0.3425664669773537
