image,lag,R_horizontal,G_horizontal,B_horizontal,R_vertical,G_vertical,B_vertical
001,1,0.03631985405775013,0.02409451013499303,0.002239537248873862,0.004784647826801145,0.020658106695427284,0.027713687199313806
001,2,0.029831260138711298,0.019938260349316044,0.019093343434629286,0.01771237954762752,0.006859321905020835,0.018520246988063406
001,3,0.04393635425570224,0.04150686517120257,0.05388622805345559,0.008325962796455744,0.01767373657480583,0.003196198285057333
001,4,0.029923960952087127,0.02771271447397054,0.00608925285983825,0.03632182005377763,0.023797687025805033,0.038332702379195796
001,5,0.019452628790681954,0.031818533945907154,0.006264314311803689,0.018058403589874726,0.03400758747214299,-0.002852573346585639
001,6,0.024108666220944666,0.03051858897393726,0.023424545782552698,0.03620284473477582,0.045739168922482164,0.020393433406444082
001,7,0.038301325194722007,-0.0010123629166194118,0.014814850166388172,0.007876370966642834,0.02215802637244616,-0.0020383664533179134
001,8,0.011078075346160262,0.030934301449804632,0.019197505094373294,0.03166503963040837,0.010306593147448457,0.03508647409908244
001,9,0.03613682284132813,0.022297296522745345,0.005299978848150447,0.03177305195377501,0.016135478284617366,0.03326075397821381
001,10,-0.00017237246221269171,0.03653566001803901,0.04810634299887652,0.0004974181904582886,-0.000914383377760625,0.02941388636361672
002,1,0.022067512267706587,0.02227662978876831,0.029407395310757253,-0.0016636868356844393,0.01578375458330703,0.021889881621182633
002,2,0.015198886785066706,0.016344833436991273,0.026546780458747424,0.015923259928256408,0.007791810391756824,0.015851642204382402
002,3,0.003168468006453429,0.024838455531129844,0.016091770553193156,0.010244370182559567,0.02459963789396288,-0.005267314511626556
002,4,0.02113825267671767,0.03018981093256677,0.01873252225265989,0.01698831299987026,0.027748617094760064,0.03187299932195906
002,5,0.02229012713312466,0.05305855675462262,0.038538200712034905,0.02908978483139764,0.026641631144771433,0.0063547395700569
002,6,0.009641255999315063,0.0014303991059544587,0.02500270330921487,0.020160707683705772,0.014793828387277302,0.014953629050021502
002,7,0.018807343408576455,0.012634667755535458,0.002952100202235316,0.024922870179623646,0.008413793881793745,0.004488657477719449
002,8,-0.004803372082930849,0.01922680853491413,0.007796917152261798,0.015827875609892926,0.02257158883369448,0.022641039888376513
002,9,0.019987226942783185,0.020643395849652538,0.011799122557979085,-0.010250040874254662,-0.014793729962896433,0.012819081729509267
002,10,-0.012060727189007725,0.029959773704465065,0.01775767788824035,0.018869918929326945,0.0035316540485746295,0.027064539611532195
003,1,0.034300406492668564,0.053530645430719476,0.028673810155187187,0.01915819450682008,-0.004416429136848937,0.003539389091464847
003,2,0.01615546281059095,0.043315684449750994,0.03384158812914025,0.015944899148825825,0.016501759794263285,0.029354277791192183
003,3,0.02653054140654909,0.021081382349891993,0.018136483862606273,0.012151192699109227,0.01723966679133989,0.008812877442181464
003,4,0.03281977806926927,0.029625855492492772,0.017501070157685948,0.03232607020065326,0.022264065383338725,0.03254072118798861
003,5,0.04635922794019891,0.03651025689616791,0.005859323006805548,0.019254351172694327,0.02909417487612419,0.019280891010770955
003,6,0.012722068440894138,0.03957349472684177,0.03521304573736659,0.013003421184185153,0.024425778622786443,0.018943904727063598
003,7,0.01685221462145414,0.020639033625514263,0.0019360035869610854,0.026014993631644702,0.00927042392521988,0.0031984394314684187
003,8,0.045057094594665045,0.04534230313199813,0.0021084703158436306,-0.01082762256600516,0.028322689803784586,0.01679033980970139
003,9,0.019932456210219406,0.030708517193618987,0.039701853890679525,0.02697275431599373,0.030615273218129273,0.0424471803673297
003,10,0.029705475515778054,0.02593836975110905,0.0540430955984754,0.0016031283501604886,0.02364763231396167,0.0216536181390384
004,1,0.04861423433858898,0.10499247708581794,0.06974954602636993,0.11012637658767688,0.061363274012924865,0.06806925402198825
