image,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis,overall_mean,overall_std,psnr,ssim
173,4.3649907,21.69329,0.23136517,2.7687793,-1.4324038,21.647743,0.24402598,2.7189608,3.2572088,20.317627,0.3512589,4.956017,2.063265,21.377346,21.491458580044274,0.6858849271291635
174,2.0414617,17.52808,0.30525765,3.6117368,1.6475697,17.255043,0.31036252,4.1723447,2.7972379,16.843525,0.46501005,5.2204094,2.1620898,17.217793,23.34330612771964,0.8525918735262636
175,-0.391003,26.926807,0.21076722,0.6555784,4.4577203,25.769653,0.2528009,0.8285687,4.428136,25.071205,0.287309,1.1162882,2.8316176,26.033772,19.7689853095789,0.3180688182545878
176,-1.4658203,10.862811,2.9349842,56.486782,0.62151647,10.472531,3.2351387,64.8111,2.0218644,10.161378,4.549193,100.04859,0.3925202,10.600139,27.61862188238281,0.8381866978668323
177,7.246864,34.956825,0.08171294,0.6354444,-2.5238073,34.73258,0.07086386,0.6770718,7.5652246,33.59278,0.11440706,0.88006806,4.0960937,34.749542,17.251894159536104,0.6052940663839784
178,4.98337,23.375914,0.26495665,2.5988126,4.3400135,22.922422,0.26368943,2.6824183,4.281585,22.243746,0.33942458,3.676992,4.5349894,22.854307,20.783720818371314,0.5712151805013336
179,4.224728,27.89195,0.18808945,0.561116,-0.9080629,26.970703,0.23408876,0.82414794,-1.2870209,26.927334,0.24453048,0.8770709,0.6765481,27.382582,19.37866561869296,0.22077915018772276
180,0.25983575,28.04229,0.13041207,1.9186449,10.126148,27.5326,0.14716268,1.7418523,1.3588191,26.712677,0.14345036,2.6753287,3.9149344,27.787611,19.16841904678052,0.4846133295194401
181,-0.43418923,27.895124,0.276468,2.2505345,8.75717,28.680025,0.2000223,1.7589607,9.49539,27.704216,0.28883794,2.1906314,5.9394565,28.457062,18.861817951993096,0.469563681879805
182,-1.860624,12.626796,1.4680845,23.815132,0.9645094,12.1242485,1.7964604,30.986385,-1.1015553,11.793253,2.1797655,39.773285,-0.66589,12.244585,26.359096990257477,0.7014548637373458
183,1.2542375,40.726547,-0.25659063,-0.054596186,-8.21182,40.911556,-0.10594578,-0.19313598,-4.5491138,41.952778,-0.020754792,-0.18793988,-3.8355653,41.384415,15.756921181227455,0.4486892001765242
184,4.664092,27.343288,0.1446385,0.45368123,-1.5552627,27.468798,0.13700211,0.40815783,4.0378146,23.99141,0.30574194,1.7432408,2.3822145,26.465258,19.642234544135793,0.7286567533941354
185,4.5674233,19.523695,0.38172936,3.5220923,4.3613353,18.014757,0.55448073,5.8626575,5.6342974,18.442661,0.55396223,5.944501,4.854352,18.679504,22.419673490856155,0.6007969931028829
186,-0.46205938,9.970544,3.315818,67.94231,-1.1370449,9.403176,3.4369245,73.42223,-0.9060498,9.555398,5.1985254,118.7005,-0.83505136,9.650085,28.407781765148428,0.8085675251985439
187,9.118237,29.640963,0.19746791,0.8567517,-2.6673875,27.752298,0.24538271,1.2854805,9.196884,26.664124,0.27768984,1.8719273,5.215911,28.594725,18.862935601607912,0.41010742053488736
188,4.1216598,22.512861,0.5964498,6.4570217,2.1640768,20.27441,0.8927871,9.20807,4.9621925,22.597301,0.79869014,5.6036434,3.7493098,21.852852,21.214645459653283,0.1515289082695648
189,-1.8448627,10.7949,1.5597756,27.705832,-0.98947424,10.63427,1.5393482,28.445482,-1.744796,10.33073,2.4220018,47.181755,-1.5263777,10.595265,27.539356329594643,0.8456590623883568
190,4.088855,33.26404,-0.4412367,0.77860904,-10.514354,31.936214,-0.4426183,1.2368836,-15.611719,31.6599,-0.31095374,1.7247906,-7.345739,33.35608,17.461628830538487,0.29074290592163743
191,1.754894,38.404976,-0.17282566,0.3828895,-10.215107,36.735706,-0.21257658,0.604439,7.455149,37.151905,-0.085110635,0.34753227,-0.33502123,38.1549,16.499462582189068,0.5634814114161948
192,9.964241,33.246273,0.18899444,0.7246523,-1.9462453,32.08408,0.21719676,0.955106,10.883374,29.330761,0.3064132,1.4310141,6.3004565,32.13218,17.82815646105999,0.38827786848641727
193,-0.7678149,11.822735,1.7596456,32.12497,-1.0659631,11.763167,1.5774679,28.448196,-1.5364733,10.849467,2.8904796,64.512726,-1.1234171,11.491452,26.88199531388239,0.7777979683094776
194,3.0989895,24.733643,0.06743761,1.3385754,3.6539402,24.179735,0.070384175,1.5643325,3.3739421,23.755182,0.10956447,2.009029,3.375624,24.227224,20.361226775389735,0.8497253118598359
195,6.18712,37.182716,-0.008149702,0.33902574,6.5712757,36.76199,-0.046774104,0.39362478,-3.1082735,35.266834,-0.09698241,0.87013936,3.2167075,36.6871,16.80727665129981,0.2902151530323062
196,-1.0600225,10.833808,3.2847219,71.98239,0.99205846,10.562319,3.2642941,71.63813,1.4994502,9.979249,4.991723,125.47685,0.47716206,10.522873,27.679196883869665,0.8069443844681631
197,-6.1744227,39.468517,-0.042271156,0.22835755,5.1383905,37.57843,-0.10718239,0.3125775,5.96394,36.249332,-0.17514488,0.66759396,1.6426361,38.19213,16.483299340770312,0.45112641576259366
198,5.3616543,33.800385,0.01613929,0.8024571,8.128517,33.032284,-0.0008655126,0.8204472,-1.0644664,30.19602,-0.07105182,1.6864872,4.1419015,32.6082,17.794755883773096,0.3752737475127177
199,-3.164849,25.687912,0.018509697,0.69108915,3.6290913,24.628963,0.0018904187,0.75204444,-1.4408474,23.265507,0.19906409,1.71769,-0.32553506,24.716278,20.270388983007184,0.6770563916096562
200,-2.5421567,32.120743,-0.022402741,1.3716846,7.5209002,31.29804,0.012367278,1.3493872,-3.875755,31.347372,-0.0641935,1.8017054,0.36766273,31.997967,18.02778251181713,0.5802999476712916
201,-1.6714401,13.865828,0.60225123,10.538624,0.12129902,13.938418,0.5418193,10.029854,-0.9069034,13.451036,0.93805945,14.848774,-0.81901485,13.773036,25.334879650661016,0.7549012224724425
202,-0.852095,20.770227,0.37989986,4.3006105,-2.2607453,21.755817,0.2541059,3.0037127,4.9800754,17.879374,0.7482394,11.320708,0.6224117,20.443956,21.915481423449847,0.5932563100697542
203,6.6357474,28.515858,0.09067097,1.8996863,7.655321,27.102406,0.084421486,2.2657223,6.5487447,26.823168,0.04991224,2.894383,6.9466043,27.495054,19.076983127413037,0.4211481137004778
204,-1.4976008,20.898678,0.39021555,2.254147,-0.51421654,20.200607,0.44042397,2.793643,4.333455,19.332775,0.5434261,4.2492156,0.77387923,20.314732,21.968284400068395,0.234624389703471
205,7.461801,30.663353,0.17572342,0.8271389,-2.3080502,29.321844,0.20053218,1.1283908,-1.2722231,29.305077,0.25592867,1.1321454,1.2938427,30.090982,18.55405487679841,0.5266790982230161
206,-2.1911583,30.636942,0.38592896,0.682441,-2.2566235,27.939032,0.46438652,1.175931,-0.092955336,26.82154,0.55618006,1.6277723,-1.513579,28.52856,19.01299920007419,0.11964555022677964
207,-1.531252,30.622772,0.29068124,1.1167812,-1.548065,28.767828,0.29767874,1.623683,11.441582,26.231573,0.41099718,2.5406318,2.7874217,29.244825,18.770547020976533,0.3589879926425718
208,-3.8692036,30.992651,-0.041939836,0.42531228,1.5251518,30.010744,-0.050211247,0.5405228,-1.308735,28.676458,0.098660454,0.91745305,-1.2175956,29.989388,18.58429825053618,0.7226107795639128
209,-0.010112147,25.746971,0.34929752,2.4230514,-1.2290156,23.253975,0.42291227,4.2677073,1.9433645,23.063334,0.37545466,4.895175,0.23474558,24.087986,20.49438143484175,0.18415885884103486
210,-1.1678946,18.785954,0.52264863,9.604353,5.071035,18.608036,0.5506296,9.338403,5.53232,18.222057,0.60452527,11.0666275,3.1451535,18.790285,22.53213459147603,0.6124171619044064
211,-0.44895455,22.065666,-0.43085137,4.0129213,-5.7158895,21.801245,-0.47431672,4.2809205,-4.7569537,21.590633,-0.5200444,5.1355906,-3.6405993,21.939941,21.188131041570976,0.5014898712930814
212,-0.9221524,14.015556,1.1117136,16.970503,1.6494262,13.771694,1.1525673,17.949839,0.1233873,12.801244,1.9162539,34.70972,0.28355372,13.580773,25.470420658875362,0.7815510083681668
213,-5.836852,33.705776,0.054854874,0.65348935,6.7448926,32.561146,0.05370889,0.6522064,-2.721394,30.530104,-0.037153866,1.7239432,-0.6044512,32.73259,17.829715868964357,0.4662871666530271
214,2.0738957,16.746267,0.69346005,8.124294,2.2145054,15.687062,0.95191,12.51215,2.8571527,14.452113,1.4754267,22.27095,2.3818512,15.660287,24.135488826557715,0.6143585065754014
215,5.241291,22.623886,0.4168975,3.8820996,4.582811,21.65173,0.49075767,4.8688807,-2.0575035,21.365963,0.50853336,5.558712,2.5888662,22.133999,21.170594738712346,0.6348840543406276
216,-2.2794514,32.311512,0.23756352,0.6736648,9.736036,29.244417,0.27584267,1.0768785,-2.1007638,29.34883,0.3188541,1.2264729,1.7852738,30.851587,18.330735108981816,0.35367073525647835
217,-2.4935563,23.136488,-0.10279893,3.07978,-1.5414008,22.770918,-0.07206054,3.187912,-0.612386,22.771624,0.005776358,3.5509024,-1.5491143,22.906536,20.91179806511281,0.4742149561393259
218,4.0630336,26.068975,0.2630957,1.565299,4.986506,25.55344,0.28142208,1.7655764,-0.52623713,24.213882,0.29155928,2.9509969,2.8411007,25.405489,19.97827613899937,0.48006559454240216
219,-6.115465,25.813421,-0.112679996,2.6011577,0.10925306,26.347145,-0.022302138,2.0793085,-5.189817,25.08136,-0.10924131,3.2568913,-3.7320096,25.89814,19.77617114470874,0.4938422565039593
220,3.4658182,38.88089,-0.32938308,-0.174196,-8.6671095,39.047432,-0.26979238,-0.22023773,-7.4817257,40.00289,-0.247799,-0.15772319,-4.227672,39.69108,16.107951772537202,0.0841718469831509
221,-1.4422578,13.346225,0.46689412,7.356016,1.03326,12.961112,0.4815746,7.6526833,1.8879972,13.02747,0.88780284,14.91013,0.4929998,13.188508,25.720825953879093,0.8147601452609746
222,-2.7354145,26.049316,0.29661617,1.5424504,-0.8173371,23.635696,0.41506398,2.7631197,5.428198,22.406574,0.4948838,3.9771018,0.6251487,24.329071,20.405426480039566,0.4850050430994249
223,7.4856615,35.770927,-0.066740714,0.44284225,-2.9012737,33.41286,-0.03861369,0.8557184,7.3447795,34.15721,-0.02065552,0.80468655,3.9763892,34.80257,17.242249258670856,0.19603161318830722
224,5.7349014,23.746635,0.27578968,1.7199035,5.898149,22.885391,0.3100961,2.1708388,4.9367704,21.099188,0.5036999,4.235772,5.5232735,22.607882,20.79383387336072,0.40163252739291866
225,-0.41528192,24.05184,0.50848246,3.5365314,-0.48081934,21.55734,0.5782781,5.631385,1.9365479,20.799112,0.6720289,7.4776516,0.34681553,22.20815,21.199496160660523,0.47011964134157247
226,7.334201,36.693974,-0.060925588,-0.089179754,-2.8013616,35.641167,0.03499812,0.027866602,-3.8400428,36.269356,0.050693296,0.116428375,0.23093213,36.5533,16.872098909576028,0.23194495673599835
227,1.2407588,25.690529,0.28309235,3.400578,1.3838632,24.957167,0.34267396,3.7815223,2.0827994,25.624865,0.28611693,3.5644484,1.5691404,25.429007,20.00771031062183,0.35835085231665403
228,4.5116253,27.81961,0.13580628,1.0053787,5.0348005,26.838106,0.1691488,1.3202262,3.7271671,27.055143,0.19274181,1.2786312,4.424531,27.246174,19.311650403455204,0.4972530487436313
229,3.6477861,30.014116,0.023166798,0.48189998,3.0522263,29.248343,0.036716726,0.69314647,3.3243163,29.215488,0.08332014,0.6682782,3.3414428,29.495962,18.68017192095666,0.7111827816421336
