stage,mean_denoised_psnr,mean_delta_psnr,mean_denoised_ssim,mean_delta_ssim,score,avg_runtime
Full_BM3D,26.986115109452818,5.481509690501072,0.7953495971140587,0.24133372801343073,0.3157938788254152,37.40152390667354
Hard_Thresholding_Only,25.986085690157843,4.481480271206096,0.7546299158529873,0.20061404675235922,0.2595048295491875,18.61881349333562
