severity_group,severity,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim
Low,0.5063527552463021,25.855966940785525,29.46219341417816,3.6062264733926326,0.7437854437382966,0.8756706084100452,0.13188516467174852
Medium,0.8574519234979308,20.43222460507515,25.98404892952379,5.551824324448642,0.4893504336318532,0.7643044410070233,0.27495400737517023
High,1.1603380927586038,17.8072745906783,23.666898053128893,5.859623462450593,0.37343622707914526,0.6606130677948306,0.2871768407156854
