image,severity,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis
001,1.1135137334964385,0.1895247782444602,0.9999999999999998,0.15069823511204217,0.7395521352886503,0.22383535826052864,0.9619405875389049,0.06266733186739663,1.4780549967002736,0.18464843876655462,1.0113994286157342,0.3222593107059078,1.755400946632152
002,0.8724377105932243,0.1381838058077839,1.0,0.08378065742554486,2.6457651369637203,0.14000621257901244,1.0010365682903883,0.28643769305832056,4.716563842407212,0.15422811848306925,0.9925408817255784,0.3507921353690014,4.881276366285308
003,1.16995467006133,0.19355538219481183,0.9999999999999999,0.33768257547120467,0.9094443157704712,-0.17444997203654294,0.9883999163950221,0.28714305597542583,0.8280246365850803,0.24665722196936637,1.0015183572463784,0.5493130440016637,2.683528316809223
004,0.471737131087787,-0.11777720845531779,0.9999999999999999,1.2617302281919964,20.558375990320332,-0.11679469139343338,1.018740563320553,1.970702742882209,39.46263936264268,-0.24039596443383296,0.9901181173646848,2.676340700549711,58.63689231639066
005,0.5231371923673289,0.13565587503643067,1.023457625963251,0.31455695704805575,4.3903977984535585,0.02122895793699733,1.0,1.147140835076376,20.543561560179604,-0.22576653384342515,0.9780544120429291,1.5887480060320796,31.045260219039335
006,1.1946597749861965,0.23121082449482125,1.0209124501006184,0.26268998726280207,0.7721181730356461,0.21056732216849136,1.0,0.2815525062140212,0.9897051495677913,-0.18458202055924602,0.9830444234640957,0.6035507931247653,2.429406479494153
007,0.969696145888771,0.11208355498719902,0.9957302786345763,0.033663054893137805,3.1757139388365783,0.11295783306532615,1.0074080565773218,0.16718324386519412,4.941084482929328,0.1012576986440673,1.0,0.22941907331592692,5.806427670454816
008,0.8793171077611397,0.1077711914155648,0.9751783063253443,0.30110838221226144,1.2222646763901261,0.11121531786808629,1.0,0.3672401893378663,1.7759001203780187,0.1733525464967047,1.0060932666459155,0.40407060158374186,2.2417852460786527
009,1.0841185174832664,0.2242656895769854,1.0,0.06270492462629247,1.3802980634286843,-0.20582078156703637,0.9979138753688144,-0.15495027761478505,1.453043635813513,0.13580289581423577,1.0151294947893719,-0.39730709979548756,2.476147924498518
010,1.1738716879172628,0.18975387987363476,1.0440523841843508,0.4235871119770087,1.441599212004105,-0.20556596693019627,1.0,0.46878705310037644,1.9047246127178497,-0.14726722804561637,0.9873366826939287,0.7335838268718814,3.3631259447229764
011,1.061975610094688,-0.22266819691297643,1.0,0.5527006235450114,2.7521203455313126,-0.16578243336917625,1.0205926558994565,0.5210843272859514,2.824053233768476,-0.1223455282123115,0.9881951988111476,0.7900503830720079,5.619159596189181
