severity_group,alpha_dncnn,wavelet_weight,mean_delta_psnr,mean_delta_ssim,score
Low,0.5,0.5,6.491057562016998,0.18217381331751034,0.33251182780768407
Low,0.55,0.44999999999999996,6.673084123137322,0.18533322702751842,0.3410566557365003
Low,0.6000000000000001,0.3999999999999999,6.823912783193736,0.1877420179216055,0.3480533184963916
Low,0.6500000000000001,0.34999999999999987,6.960806792783989,0.19015682781255974,0.35449500283638347
Low,0.7000000000000002,0.2999999999999998,7.058060916867379,0.19179696542587338,0.35904122284504447
Low,0.7500000000000002,0.24999999999999978,7.134532935557214,0.19333798702673632,0.36271651223298307
Low,0.8000000000000003,0.19999999999999973,7.183547705183344,0.19450711622635786,0.3651447546978769
Low,0.8500000000000003,0.1499999999999997,7.199049387361538,0.1952550585920209,0.3660639989312699
Low,0.9000000000000004,0.09999999999999964,7.1809151358080365,0.19551077509066073,0.3654409154685857
Low,0.9500000000000004,0.0499999999999996,7.129713352163334,0.19545769803997642,0.3633716133025239
Low,1.0000000000000004,-4.440892098500626e-16,7.080636202204121,0.1953970474505407,0.3613842670683811
Medium,0.5,0.5,8.36323920832212,0.3716838526902721,0.4832031094089936
Medium,0.55,0.44999999999999996,8.549325768158498,0.3769844354126736,0.4927668048914094
Medium,0.6000000000000001,0.3999999999999999,8.712422914116635,0.38143340615855226,0.5010702790280863
Medium,0.6500000000000001,0.34999999999999987,8.85572488340447,0.38527013527327125,0.5083370494454873
Medium,0.7000000000000002,0.2999999999999998,8.970887200410477,0.38829243688381126,0.5141524627699436
Medium,0.7500000000000002,0.24999999999999978,9.062391136026502,0.3906323196651771,0.5187485733071309
Medium,0.8000000000000003,0.19999999999999973,9.123230417025871,0.3921839907844578,0.5218028129948179
Medium,0.8500000000000003,0.1499999999999997,9.15546148172346,0.3929231847952613,0.5233877331870429
Medium,0.9000000000000004,0.09999999999999964,9.157067896191492,0.39290340292657644,0.5234440770182902
Medium,0.9500000000000004,0.0499999999999996,9.1220141295312,0.3916834345431944,0.5215539389985258
Medium,1.0000000000000004,-4.440892098500626e-16,9.073196758218034,0.3907111317172678,0.5192123230156285
High,0.5,0.5,8.273655657900521,0.40067922368997233,0.4912179157920098
High,0.55,0.44999999999999996,8.454234978107003,0.40800690002554085,0.5013721591344965
High,0.6000000000000001,0.3999999999999999,8.617417947548924,0.4143380923203951,0.510431954830115
High,0.6500000000000001,0.34999999999999987,8.76351579901238,0.41973769235662506,0.5184357089031453
High,0.7000000000000002,0.2999999999999998,8.887733664348845,0.4241359274142433,0.5251637175396511
High,0.7500000000000002,0.24999999999999978,8.991773219273503,0.4275064933921659,0.5306735261278065
High,0.8000000000000003,0.19999999999999973,9.068676778064745,0.4297375326816127,0.5346420841952348
High,0.8500000000000003,0.1499999999999997,9.12239849586723,0.43083909416160276,0.5372315774993304
High,0.9000000000000004,0.09999999999999964,9.149439106062903,0.43085924546935533,0.5383212624302582
High,0.9500000000000004,0.0499999999999996,9.148892442329663,0.42948308859645473,0.5377489331317684
High,1.0000000000000004,-4.440892098500626e-16,9.125317601023525,0.4277408253750484,0.5361090341909603
